ID,Age,Income (USD),Rent (USD),Groceries (USD),Eating Out (USD),Entertainment (USD),Subscription Services (USD),Education (USD),Online Shopping (USD),Savings (USD),Investments (USD),Travel (USD),Fitness (USD),Miscellaneous (USD),total_expense,savings_rate,expense_to_income_ratio,discretionary_vs_fixed_ratio
119,24,2508,1003,375,365,36,82,1224,450,925,4090,1837,181,343,5896,0.36881977671451355,2.3508771929824563,1.2659492697924672
120,26,2729,1060,479,383,344,21,1971,623,2012,4306,964,204,367,6416,0.7372663979479663,2.3510443385855626,0.8279202279202279
121,27,2535,798,330,382,392,44,257,336,2495,1360,804,278,140,3761,0.9842209072978304,1.483629191321499,1.715523465703971
122,27,6085,1788,408,376,265,72,1503,417,149,4585,603,28,159,5619,0.02448644207066557,0.92341824157765,0.519059205190592
123,20,1775,1273,218,64,270,77,1911,343,1496,2686,1654,58,35,5903,0.8428169014084507,3.3256338028169012,0.7351557907113463
124,24,4240,381,367,376,100,66,1201,584,1150,190,452,167,328,4022,0.27122641509433965,0.9485849056603773,1.0636223704463827
125,18,3789,903,532,151,58,22,756,615,899,842,1180,75,68,4360,0.23726576933227764,1.150699392979678,0.9899589228662711
126,21,2739,1071,372,275,55,32,122,565,1892,334,88,68,183,2831,0.6907630522088354,1.0335889010587807,0.8089456869009585
127,21,6870,1202,163,474,216,92,341,95,2796,1110,630,168,81,3462,0.4069868995633188,0.5039301310043668,1.0293083235638922
128,22,1625,664,397,327,177,48,1194,505,1463,578,229,280,359,4180,0.9003076923076923,2.5723076923076924,0.8536585365853658
129,24,5565,462,449,457,223,97,1868,107,2448,61,61,130,173,4027,0.4398921832884097,0.7236298292902067,0.44908240374235336
130,24,5812,1371,512,162,215,89,1671,251,1665,386,1412,263,331,6277,0.2864762560220234,1.080006882312457,0.7661789532920653
131,21,5368,810,502,477,235,21,1082,26,2313,1169,992,270,395,4810,0.43088673621460505,0.8960506706408345,1.009189640768588
132,24,2708,1652,593,50,304,43,1728,569,2463,2200,1789,144,365,7237,0.9095273264401772,2.6724519940915803,0.8215454316637302
133,20,6842,415,110,315,215,80,1488,71,100,4714,597,283,169,3743,0.014615609470914937,0.5470622624963462,0.8594138102334824
134,23,4749,1240,197,257,326,84,1803,674,1119,1683,1199,65,395,6240,0.23562855337965888,1.31396083385976,0.9259259259259259
135,19,2418,636,533,159,171,40,259,415,1384,486,112,105,92,2522,0.5723738626964433,1.043010752688172,0.7661064425770309
136,27,6913,1180,170,249,33,71,1396,240,162,3732,893,123,88,4443,0.023434109648488355,0.6427021553594676,0.6179898033503277
137,26,5423,1036,463,489,344,22,1996,447,2630,540,1155,37,196,6185,0.4849714180342984,1.1405126313848424,0.7696709585121603
138,22,7794,1139,157,418,165,40,94,162,1969,2060,1058,11,373,3617,0.25263022838080573,0.4640749294328971,1.602158273381295
139,23,7257,446,389,355,76,11,1148,382,2369,4246,1892,221,21,4941,0.32644343392586467,0.6808598594460521,1.491679273827534
140,21,5903,1898,350,61,230,24,40,401,251,1238,1372,77,328,4781,0.042520752159918684,0.8099271556835508,1.089597902097902
141,27,6955,1646,375,394,287,66,1914,580,743,990,83,137,138,5620,0.10682961897915169,0.8080517613227893,0.42820838627700125
142,24,3469,742,149,237,229,84,253,296,725,4467,801,33,26,2850,0.20899394638224272,0.8215624099164024,1.4912587412587412
143,26,4293,1136,457,203,36,43,6,290,316,2299,1682,262,274,4389,0.07360819939436292,1.0223619846261356,1.7448405253283301
144,24,2391,1336,315,417,305,77,1494,33,295,3907,98,239,94,4408,0.12337933918862401,1.8435800920117107,0.4015898251192369
145,18,5970,1242,493,383,363,84,727,317,1114,4288,707,185,370,4871,0.18659966499162478,0.8159128978224456,0.9784727863525589
146,18,3533,1817,515,474,222,38,1534,483,2794,1080,1710,230,214,7237,0.7908293235210869,2.048400792527597,0.871960682876358
147,26,2864,586,151,469,118,75,1604,546,2855,197,750,45,206,4550,0.9968575418994413,1.5886871508379887,0.943613840239214
148,26,1628,1019,370,426,298,25,68,253,1621,2194,1130,11,22,3622,0.9957002457002457,2.2248157248157248,1.485929993136582
149,21,2514,1437,584,328,228,48,1104,594,1678,1598,1934,283,203,6743,0.6674622116149562,2.6821797931583133,1.15776
150,26,3299,779,183,220,148,86,541,46,1180,1600,158,186,354,2701,0.3576841467111246,0.8187329493785995,0.7970725216234198
151,20,6977,321,486,183,354,46,1608,490,1627,3692,1590,273,292,5643,0.23319478285796189,0.8088003439873871,1.3366459627329192
152,24,6112,1672,392,476,307,90,1285,112,821,3865,1034,195,387,5950,0.1343259162303665,0.9734947643979057,0.7766497461928934
153,23,3018,982,225,74,271,30,88,636,1707,683,73,24,71,2474,0.5656063618290258,0.8197481776010603,0.9104247104247104
154,25,5681,1889,395,67,284,53,1938,328,1859,3083,270,288,282,5794,0.32723112128146453,1.0198908642844569,0.3723353860729512
155,26,2698,1205,171,239,290,28,1231,71,1662,3989,364,203,387,4189,0.6160118606375092,1.5526315789473684,0.6068277713847334
156,22,5373,619,395,190,207,80,212,338,739,332,343,207,152,2743,0.1375395495998511,0.5105155406662945,1.2373572593800979
157,18,7954,425,335,92,233,17,833,200,2253,1771,1083,73,244,3535,0.2832537088257481,0.4444304752325874,1.219083490269931
158,20,6738,576,155,383,302,86,265,588,264,4200,1750,299,329,4733,0.039180765805877114,0.7024339566636985,3.752008032128514
159,27,3974,1527,506,333,230,75,911,139,314,2721,1069,27,80,4897,0.0790135883241067,1.2322596879718168,0.6633831521739131
160,25,7589,493,459,195,384,50,292,62,1194,806,1554,73,384,3946,0.15733298194755568,0.5199631044933456,2.172025723472669
161,23,4985,1987,494,364,95,84,1230,666,189,1064,1800,260,35,7015,0.03791374122367101,1.407221664994985,0.8903260576663972
162,25,7757,1870,209,493,167,97,332,279,1895,888,1067,26,248,4788,0.2442954750547892,0.6172489364445017,0.9858979676482788
163,26,5549,995,291,368,340,79,1100,216,1351,2923,687,150,214,4440,0.24346729140385656,0.8001441701207425,0.8608549874266554
164,21,5219,1609,491,490,232,70,1311,664,1202,320,316,254,270,5707,0.23031232036788657,1.0935045027783101,0.673116388155966
165,18,1802,356,192,141,128,35,1004,274,707,3957,1865,299,322,4616,0.39234184239733627,2.5615982241953383,1.9742268041237114
166,18,5452,1626,449,228,148,80,46,355,448,2382,137,96,67,3232,0.08217168011738811,0.5928099779897286,0.5238095238095238
167,27,6183,1486,155,105,29,92,621,572,345,3231,504,208,254,4026,0.05579815623483746,0.651140223192625,0.7798408488063661
168,21,2486,318,159,204,66,79,1223,521,371,2311,1699,170,140,4579,0.14923572003218022,1.841914722445696,1.693529411764706
169,24,3363,1693,237,209,398,38,426,274,2130,3601,1606,149,339,5369,0.6333630686886709,1.5964912280701755,1.278862478777589
170,19,5940,563,138,160,334,75,209,533,502,1500,1221,85,69,3387,0.08451178451178451,0.5702020202020202,2.721978021978022
171,20,6409,1093,127,186,115,28,887,261,1565,1568,806,28,60,3591,0.24418786082072086,0.5603058199407084,0.7043189368770764
172,18,7583,412,148,281,122,77,1443,168,1295,3281,1851,59,41,4602,0.1707767374390083,0.60688381906897,1.2975536694957563
173,22,4572,1811,519,269,399,67,153,318,1179,1519,1802,241,390,5969,0.2578740157480315,1.3055555555555556,1.4039468385018123
174,18,6906,1650,224,117,361,79,1545,639,1714,1918,480,21,201,5317,0.24818997972777296,0.7699102229944975,0.5551330798479087
175,25,7595,841,112,351,165,66,414,472,1226,4089,1825,24,24,4294,0.16142198815009876,0.5653719552337064,2.141185076810534
176,18,7273,946,579,298,387,46,1376,412,383,1865,960,37,164,5205,0.052660525230303866,0.7156606627251478,0.7942088934850051
177,18,4624,878,135,372,46,70,1180,231,616,1405,1817,259,376,5364,0.13321799307958476,1.1600346020761245,1.4459644322845417
178,19,2827,1388,200,459,239,39,1284,687,2765,2723,1817,107,97,6317,0.9780686239830209,2.23452423063318,1.1995125348189415
179,19,6688,1615,381,441,37,80,1100,557,1401,4,291,48,250,4800,0.20947966507177032,0.7177033492822966,0.5503875968992248
180,23,3908,324,185,55,186,82,768,613,711,1168,751,47,316,3327,0.18193449334698056,0.8513306038894575,1.6053249804228662
181,24,5173,1872,103,329,101,34,982,614,849,2398,951,188,367,5541,0.16412139957471486,1.0711386042915136,0.8738586405140345
182,22,4791,300,322,481,91,74,1511,150,1392,2630,790,106,228,4053,0.2905447714464621,0.8459611772072636,0.90014064697609
183,18,5533,1210,437,143,329,15,1154,348,1956,347,115,291,182,4224,0.35351527200433763,0.7634194831013916,0.5080328454123527
184,18,6605,1872,547,478,273,27,578,631,499,4220,1021,247,187,5861,0.07554882664647994,0.8873580620741862,0.9556222889556223
185,20,2203,440,265,318,181,19,1478,275,1626,1813,427,173,297,3873,0.7380844303222878,1.758057194734453,0.7741639945029776
186,19,2074,947,482,246,346,20,739,498,2124,3342,437,106,256,4077,1.0241080038572805,1.9657666345226614,0.8805350553505535
187,22,7204,487,443,74,57,74,162,580,2233,2574,1864,266,195,4202,0.30996668517490283,0.5832870627429206,2.847985347985348
188,27,4732,1451,482,197,220,86,1038,82,419,3825,830,271,72,4729,0.08854606931530008,0.9993660185967879,0.591719959609559
189,23,6708,500,475,167,219,93,1255,330,1155,4593,258,267,368,3932,0.1721824686940966,0.5861657722122838,0.7632286995515695
190,24,6283,1450,570,387,274,74,194,426,435,52,1488,258,29,5150,0.0692344421454719,0.819672131147541,1.3261065943992774
191,21,4132,556,377,416,198,61,1884,124,2198,148,65,254,165,4100,0.531945788964182,0.9922555663117134,0.4554490592829251
192,24,5328,1999,229,387,54,76,541,636,273,502,1370,260,246,5798,0.051238738738738736,1.0882132132132132,1.0938967136150235
193,25,4730,846,130,115,101,91,358,34,1741,869,1035,132,255,3097,0.3680761099365751,0.6547568710359408,1.3215892053973013
194,18,1988,493,474,350,239,87,849,278,600,3521,1293,178,261,4502,0.30181086519114686,2.2645875251509056,1.4790748898678414
195,23,2847,1002,110,419,177,40,1354,431,2223,4314,1842,184,324,5883,0.7808219178082192,2.066385669125395,1.3856447688564477
196,25,5181,1427,575,224,23,26,426,278,2463,3871,416,278,90,3763,0.4753908511870295,0.7263076626133951,0.549835255354201
197,22,4673,1858,401,368,186,64,496,633,1956,1300,829,213,177,5225,0.4185747913545902,1.1181254012411728,0.896551724137931
198,21,6089,1588,195,125,223,45,827,279,1996,2499,1302,75,38,4697,0.3278042371489571,0.7713910330103465,0.7996168582375479
199,19,3167,1101,289,163,213,35,485,690,1763,4033,1704,68,74,4822,0.5566782443953268,1.522576570887275,1.5717333333333334
200,23,3137,1241,552,160,254,62,1831,64,1818,3289,489,228,234,5115,0.5795345871852088,1.630538731271916,0.41142384105960267
201,23,5614,1707,291,298,225,26,1472,350,1878,4833,739,275,228,5611,0.33452084075525473,0.9994656216601354,0.6170028818443805
202,18,5053,1583,585,488,169,95,1436,184,796,3853,1605,150,40,6335,0.15753018009103503,1.2537106669305362,0.7577691453940066
203,26,2500,713,365,252,178,34,329,212,831,2451,1523,245,301,4152,0.3324,1.6608,1.950959488272921
204,23,2350,1681,523,196,298,11,1755,540,1194,4385,1109,227,268,6608,0.5080851063829788,2.811914893617021,0.6691083606971457
205,20,2888,1398,227,84,323,95,888,420,2813,338,896,24,47,4402,0.9740304709141274,1.5242382271468145,0.751691205730203
206,21,6950,1678,337,358,185,14,990,393,751,2824,471,147,315,4888,0.10805755395683453,0.7033093525179857,0.6266222961730449
207,21,5212,1907,507,75,330,13,1170,84,1194,1693,1991,241,230,6548,0.22908672294704527,1.2563315425940138,0.8270089285714286
208,20,2867,1209,454,287,87,45,258,406,145,986,1693,98,304,4841,0.05057551447506104,1.6885245901639345,1.5200416449765748
209,27,2321,487,527,63,107,15,291,514,1170,3490,1262,86,39,3391,0.5040930633347694,1.4610081861266695,1.5984674329501916
210,20,1954,1613,211,423,236,30,1834,434,1545,2733,1251,145,39,6216,0.7906857727737974,3.181166837256909,0.6992892290869327
211,20,3124,344,415,94,20,86,142,49,2296,3767,657,119,349,2275,0.734955185659411,0.7282330345710627,1.5249722530521643
212,21,4272,1896,545,477,154,98,1960,285,555,4076,1388,100,139,7042,0.12991573033707865,1.6484082397003745,0.6000908884344467
213,24,5226,382,442,265,204,35,746,347,1762,2006,69,199,116,2805,0.3371603520857252,0.5367393800229621,0.7866242038216561
214,21,4647,1446,244,282,370,64,626,511,1065,3107,725,82,139,4489,0.22918011620400258,0.9659995696148053,0.9382556131260794
215,26,5589,657,164,242,159,48,1388,236,2120,4468,431,182,44,3551,0.37931651458221505,0.6353551619252102,0.6075147125396106
