id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors,year,month,week,day_of_week,is_weekend,log_amount,is_high_value,time_window
7489608,2010-01-04 14:51:00,3,2157,55.85,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,1,1,0,0,4.040416220196545,False,2010-01
7490041,2010-01-04 16:28:00,1,3682,15.33,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,1,0,0,2.7930039069823738,False,2010-01
7490494,2010-01-04 19:24:00,3,2157,0.86,Swipe Transaction,19964,Burkburnett,TX,76354.0,5311,,2010,1,1,0,0,0.6205764877251099,False,2010-01
7492473,2010-01-05 11:01:00,1,3682,9.49,Swipe Transaction,75781,Pensacola,FL,32504.0,5411,,2010,1,1,1,0,2.3504224224082058,False,2010-01
7492630,2010-01-05 11:34:00,1,4652,13.94,Online Transaction,16798,ONLINE,,,4121,,2010,1,1,1,0,2.704042179704671,False,2010-01
7493590,2010-01-05 14:59:00,3,2157,49.88,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,1,1,1,0,3.9294699190318663,False,2010-01
7493942,2010-01-05 16:21:00,1,4652,17.29,Online Transaction,16798,ONLINE,,,4121,,2010,1,1,1,0,2.906354462402774,False,2010-01
7497616,2010-01-06 14:59:00,3,2157,54.26,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,1,2,0,4.01204931949527,False,2010-01
7497811,2010-01-06 15:41:00,1,4652,15.99,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,1,2,0,2.8326249356838407,False,2010-01
7500634,2010-01-07 11:33:00,1,3682,14.79,Online Transaction,18563,ONLINE,,,4121,,2010,1,1,3,0,2.7593768282675506,False,2010-01
7501495,2010-01-07 14:40:00,3,2157,59.79,Swipe Transaction,19964,Burkburnett,TX,76354.0,5311,,2010,1,1,3,0,4.107425301760631,False,2010-01
7502148,2010-01-07 17:17:00,1,3682,8.94,Online Transaction,16798,ONLINE,,,4121,,2010,1,1,3,0,2.2965670206684825,False,2010-01
7502303,2010-01-07 18:23:00,1,3682,53.69,Swipe Transaction,60569,Pensacola,FL,32534.0,5300,,2010,1,1,3,0,4.001680877358681,False,2010-01
7504336,2010-01-08 11:39:00,1,4652,13.16,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,1,4,0,2.6504210882655737,False,2010-01
7505408,2010-01-08 16:01:00,1,3682,16.09,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,1,4,0,2.8384934971274993,False,2010-01
7507964,2010-01-09 11:12:00,1,3682,15.77,Online Transaction,16798,ONLINE,,,4121,,2010,1,1,5,1,2.8195915758351173,False,2010-01
7508209,2010-01-09 12:10:00,3,2157,7.85,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,1,1,5,1,2.180417459019838,False,2010-01
7508773,2010-01-09 14:33:00,3,2157,59.67,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,1,5,1,4.105449341954206,False,2010-01
7509153,2010-01-09 16:01:00,1,3682,19.91,Swipe Transaction,73802,Buffalo,NY,14224.0,4121,,2010,1,1,5,1,3.0402275134405423,False,2010-01
7511944,2010-01-10 11:20:00,1,3682,8.93,Swipe Transaction,59397,Buffalo,NY,14224.0,5812,,2010,1,1,6,1,2.295560478057081,False,2010-01
7511951,2010-01-10 11:22:00,1,4652,15.24,Online Transaction,18563,ONLINE,,,4121,,2010,1,1,6,1,2.787477334733532,False,2010-01
7512023,2010-01-10 11:37:00,1,4652,16.57,Swipe Transaction,73802,Buffalo,NY,14224.0,4121,,2010,1,1,6,1,2.866192902199006,False,2010-01
7512673,2010-01-10 13:52:00,3,2157,46.47,Swipe Transaction,19964,Burkburnett,TX,76354.0,5311,,2010,1,1,6,1,3.860097932563227,False,2010-01
7513020,2010-01-10 15:11:00,1,4652,15.79,Online Transaction,18563,ONLINE,,,4121,,2010,1,1,6,1,2.8207834710894493,False,2010-01
7513267,2010-01-10 16:06:00,1,3682,9.94,Swipe Transaction,73802,Buffalo,NY,14224.0,4121,,2010,1,1,6,1,2.392425796993835,False,2010-01
7515910,2010-01-11 11:13:00,1,3682,17.58,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,2,0,0,2.922085733385692,False,2010-01
7516051,2010-01-11 11:43:00,1,4652,167.02,Online Transaction,32480,ONLINE,,,4899,,2010,1,2,0,0,5.124083019936701,True,2010-01
7517207,2010-01-11 15:55:00,1,4652,128.01,Swipe Transaction,93403,Pensacola,FL,32504.0,8021,,2010,1,2,0,0,4.859889920737045,False,2010-01
7517291,2010-01-11 16:18:00,1,3682,16.97,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,2,0,0,2.8887037007954675,False,2010-01
7520058,2010-01-12 11:43:00,1,4652,17.58,Online Transaction,18563,ONLINE,,,4121,,2010,1,2,1,0,2.922085733385692,False,2010-01
7520251,2010-01-12 12:27:00,1,4652,14.84,Online Transaction,16798,ONLINE,,,4121,,2010,1,2,1,0,2.7625383863862796,False,2010-01
7520901,2010-01-12 14:45:00,3,2157,48.88,Swipe Transaction,19964,Burkburnett,TX,76354.0,5311,,2010,1,2,1,0,3.909620120811836,False,2010-01
7521035,2010-01-12 15:20:00,3,2157,52.72,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,1,2,1,0,3.9837853716550367,False,2010-01
7521318,2010-01-12 16:27:00,1,4652,17.44,Online Transaction,16798,ONLINE,,,4121,,2010,1,2,1,0,2.914522218128448,False,2010-01
7522342,2010-01-13 01:55:00,3,2157,25.24,Online Transaction,39261,ONLINE,,,5815,,2010,1,2,2,0,3.267284964075888,False,2010-01
7524069,2010-01-13 11:55:00,1,3682,14.25,Online Transaction,18563,ONLINE,,,4121,,2010,1,2,2,0,2.724579503053421,False,2010-01
7524730,2010-01-13 14:08:00,3,2157,48.14,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,1,2,2,0,3.894673367093033,False,2010-01
7524904,2010-01-13 14:48:00,3,2157,56.63,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,1,2,2,0,4.054043265448575,False,2010-01
7525290,2010-01-13 16:20:00,1,3682,14.17,Online Transaction,18563,ONLINE,,,4121,,2010,1,2,2,0,2.719319793360441,False,2010-01
7525353,2010-01-13 16:33:00,3,2157,3.23,Swipe Transaction,1084,Wichita Falls,TX,76301.0,5310,,2010,1,2,2,0,1.4422019930581866,False,2010-01
7528167,2010-01-14 12:24:00,1,4652,60.0,Swipe Transaction,27092,Pensacola,FL,32507.0,4829,,2010,1,2,3,0,4.110873864173311,False,2010-01
7529013,2010-01-14 15:35:00,1,4652,11.43,Online Transaction,16798,ONLINE,,,4121,,2010,1,2,3,0,2.5201129055226197,False,2010-01
7531553,2010-01-15 11:30:00,1,3682,12.98,Online Transaction,16798,ONLINE,,,4121,,2010,1,2,4,0,2.637627736805664,False,2010-01
7532031,2010-01-15 13:23:00,3,2157,22.21,Swipe Transaction,11468,Wichita Falls,TX,76306.0,5970,,2010,1,2,4,0,3.1445832202863455,False,2010-01
7532321,2010-01-15 14:37:00,3,2157,52.03,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,2,4,0,3.970857791149039,False,2010-01
7532481,2010-01-15 15:21:00,3,2157,54.82,Swipe Transaction,65267,Wichita Falls,TX,76301.0,5912,,2010,1,2,4,0,4.022132228108176,False,2010-01
7532675,2010-01-15 16:13:00,1,4652,15.26,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,2,4,0,2.7887081041196646,False,2010-01
7535153,2010-01-16 11:28:00,1,4652,157.35,Online Transaction,87530,ONLINE,,,4900,,2010,1,2,5,1,5.064807772984649,True,2010-01
7535281,2010-01-16 11:57:00,1,4652,13.99,Online Transaction,18563,ONLINE,,,4121,,2010,1,2,5,1,2.7073833121145063,False,2010-01
7536425,2010-01-16 16:23:00,1,3682,10.35,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,2,5,1,2.4292177439274116,False,2010-01
7538739,2010-01-17 10:02:00,3,2157,84.0,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,2,6,1,4.442651256490317,False,2010-01
7538798,2010-01-17 10:16:00,3,2157,15.68,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,2,6,1,2.8142103969306005,False,2010-01
7539258,2010-01-17 11:45:00,1,4652,16.51,Online Transaction,18563,ONLINE,,,4121,,2010,1,2,6,1,2.8627721462977607,False,2010-01
7540427,2010-01-17 16:06:00,1,4652,15.36,Online Transaction,16798,ONLINE,,,4121,,2010,1,2,6,1,2.794839331174601,False,2010-01
7543263,2010-01-18 11:39:00,1,3682,13.37,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,3,0,0,2.6651427000909336,False,2010-01
7543393,2010-01-18 12:09:00,1,4652,18.79,Online Transaction,16798,ONLINE,,,4121,,2010,1,3,0,0,2.9851767596144745,False,2010-01
7544100,2010-01-18 14:44:00,3,2157,57.68,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,3,0,0,4.072098953274781,False,2010-01
7544370,2010-01-18 15:43:00,3,2157,44.28,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,1,3,0,0,3.812865433894927,False,2010-01
7544549,2010-01-18 16:20:00,1,4652,14.87,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,3,0,0,2.7644305345383176,False,2010-01
7547256,2010-01-19 11:42:00,1,3682,13.38,Online Transaction,18563,ONLINE,,,4121,,2010,1,3,1,0,2.665838352292901,False,2010-01
7547821,2010-01-19 13:47:00,3,2157,47.06,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,3,1,0,3.872450230308323,False,2010-01
7548064,2010-01-19 14:45:00,3,2157,57.2,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,1,3,1,0,4.063885354737392,False,2010-01
7548262,2010-01-19 15:36:00,1,4652,13.85,Online Transaction,18563,ONLINE,,,4121,,2010,1,3,1,0,2.6979998652487085,False,2010-01
7548576,2010-01-19 16:47:00,1,4652,14.74,Online Transaction,18563,ONLINE,,,4121,,2010,1,3,1,0,2.756205242989257,False,2010-01
7550694,2010-01-20 10:02:00,1,4652,109.52,Swipe Transaction,30286,Pensacola,FL,32526.0,4814,,2010,1,3,2,0,4.705196500055216,False,2010-01
7550716,2010-01-20 10:09:00,1,3682,111.39,Swipe Transaction,30286,Pensacola,FL,32526.0,4814,Insufficient Balance,2010,1,3,2,0,4.721974965530176,False,2010-01
7551141,2010-01-20 11:47:00,1,3682,16.94,Online Transaction,16798,ONLINE,,,4121,,2010,1,3,2,0,2.88703285663065,False,2010-01
7551140,2010-01-20 11:47:00,1,3682,6.91,Swipe Transaction,75781,Pensacola,FL,32504.0,5411,,2010,1,3,2,0,2.0681277817795625,False,2010-01
7551626,2010-01-20 13:21:00,1,4652,113.05,Swipe Transaction,99850,Pensacola,FL,32504.0,7230,,2010,1,3,2,0,4.736636948730397,False,2010-01
7552307,2010-01-20 16:03:00,1,4652,6.05,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,3,2,0,1.9530276168241776,False,2010-01
7555206,2010-01-21 11:48:00,1,3682,14.3,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,3,3,0,2.72785282839839,False,2010-01
7555258,2010-01-21 12:00:00,1,4652,15.45,Online Transaction,16798,ONLINE,,,4121,,2010,1,3,3,0,2.800325477211381,False,2010-01
7556050,2010-01-21 14:49:00,3,2157,64.22,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,3,3,0,4.177766170361173,False,2010-01
7556387,2010-01-21 16:04:00,1,3682,18.16,Online Transaction,18563,ONLINE,,,4121,,2010,1,3,3,0,2.9528247725427144,False,2010-01
7558721,2010-01-22 11:23:00,3,2157,9.51,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,1,3,4,0,2.3523271848888596,False,2010-01
7559598,2010-01-22 14:57:00,3,2157,54.37,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,1,3,4,0,4.014037930834876,False,2010-01
7559868,2010-01-22 16:03:00,1,3682,12.97,Online Transaction,18563,ONLINE,,,4121,,2010,1,3,4,0,2.6369121732688705,False,2010-01
7563094,2010-01-23 14:36:00,3,2157,39.76,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,3,5,1,3.707701208354524,False,2010-01
7563523,2010-01-23 16:21:00,1,4652,14.32,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,3,5,1,2.729159164312445,False,2010-01
7566495,2010-01-24 11:53:00,1,4652,14.41,Online Transaction,16798,ONLINE,,,4121,,2010,1,3,6,1,2.7350166493320245,False,2010-01
7567293,2010-01-24 14:46:00,3,2157,57.23,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,1,3,6,1,4.064400685849028,False,2010-01
7567844,2010-01-24 16:50:00,3,2157,3.47,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,1,3,6,1,1.4973884086254776,False,2010-01
7570429,2010-01-25 11:34:00,1,4652,17.85,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,4,0,0,2.93651291389402,False,2010-01
7570457,2010-01-25 11:42:00,1,3682,60.0,Swipe Transaction,27092,Pensacola,FL,32507.0,4829,,2010,1,4,0,0,4.110873864173311,False,2010-01
7571209,2010-01-25 14:09:00,1,4652,69.0,Swipe Transaction,61195,Pensacola,FL,32505.0,5541,,2010,1,4,0,0,4.248495242049359,False,2010-01
7571254,2010-01-25 14:20:00,1,4652,32.84,Swipe Transaction,61195,Pensacola,FL,32505.0,5541,,2010,1,4,0,0,3.521643534738023,False,2010-01
7573528,2010-01-26 08:08:00,3,2157,31.27,Swipe Transaction,22041,Wichita Falls,TX,76301.0,7230,,2010,1,4,1,0,3.4741380060638702,False,2010-01
7574124,2010-01-26 10:15:00,1,4652,59.38,Swipe Transaction,73423,Pensacola,FL,32504.0,5912,,2010,1,4,1,0,4.100657924278693,False,2010-01
7576958,2010-01-27 01:51:00,3,2157,34.01,Online Transaction,85247,ONLINE,,,5815,,2010,1,4,2,0,3.555633734966574,False,2010-01
7578588,2010-01-27 11:33:00,1,4652,15.54,Online Transaction,18563,ONLINE,,,4121,,2010,1,4,2,0,2.805781689595545,False,2010-01
7579565,2010-01-27 14:51:00,3,2157,31.57,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,1,4,2,0,3.4833916192881422,False,2010-01
7579854,2010-01-27 16:06:00,1,4652,9.75,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,4,2,0,2.3749057545736716,False,2010-01
7582634,2010-01-28 11:45:00,1,4652,13.67,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,4,3,0,2.6858045921548905,False,2010-01
7584270,2010-01-28 18:21:00,1,4652,48.24,Swipe Transaction,32858,Fort Walton Beach,FL,32548.0,5311,,2010,1,4,3,0,3.896706301316253,False,2010-01
7586291,2010-01-29 11:45:00,1,3682,16.0,Online Transaction,18563,ONLINE,,,4121,,2010,1,4,4,0,2.833213344056216,False,2010-01
7586410,2010-01-29 12:12:00,1,4652,18.99,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,1,4,4,0,2.995232148512309,False,2010-01
7587066,2010-01-29 14:42:00,3,2157,51.05,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,1,4,4,0,3.952204795060978,False,2010-01
7587302,2010-01-29 15:34:00,1,3682,160.68,Swipe Transaction,93403,Pensacola,FL,32504.0,8021,,2010,1,4,4,0,5.085619073095366,True,2010-01
7587513,2010-01-29 16:25:00,1,3682,11.63,Online Transaction,18563,ONLINE,,,4121,,2010,1,4,4,0,2.5360749363624,False,2010-01
7589573,2010-01-30 10:18:00,3,2157,86.0,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,4,5,1,4.465908118654584,False,2010-01
7589598,2010-01-30 10:24:00,3,2157,23.61,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,4,5,1,3.2031528644029645,False,2010-01
7589935,2010-01-30 11:49:00,1,4652,12.42,Online Transaction,16798,ONLINE,,,4121,,2010,1,4,5,1,2.5967461315435356,False,2010-01
7590684,2010-01-30 14:44:00,3,2157,56.87,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,1,4,5,1,4.058199115585747,False,2010-01
7591095,2010-01-30 16:11:00,1,4652,19.12,Online Transaction,16798,ONLINE,,,4121,,2010,1,4,5,1,3.0017143452315387,False,2010-01
7595307,2010-01-31 16:34:00,1,4652,7.28,Swipe Transaction,32858,Fort Walton Beach,FL,32548.0,5311,,2010,1,4,6,1,2.113842968397168,False,2010-01
7598009,2010-02-01 11:37:00,1,4652,15.76,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,5,0,0,2.818995095053937,False,2010-02
7599123,2010-02-01 15:52:00,3,2157,3.18,Swipe Transaction,20519,Holland,TX,76534.0,5942,,2010,2,5,0,0,1.430311246536665,False,2010-02
7599134,2010-02-01 15:54:00,1,4652,16.64,Online Transaction,18563,ONLINE,,,4121,,2010,2,5,0,0,2.8701690505786455,False,2010-02
7601900,2010-02-02 11:07:00,1,3682,100.84,Swipe Transaction,13913,Pensacola,FL,32504.0,4900,,2010,2,5,1,0,4.623402954249151,False,2010-02
7602064,2010-02-02 11:39:00,1,4652,16.84,Online Transaction,16798,ONLINE,,,4121,,2010,2,5,1,0,2.8814431271518632,False,2010-02
7602174,2010-02-02 12:02:00,1,4652,40.0,Swipe Transaction,27092,Pensacola,FL,32507.0,4829,,2010,2,5,1,0,3.713572066704308,False,2010-02
7602928,2010-02-02 14:45:00,3,2157,35.83,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,2,5,1,0,3.606312730456974,False,2010-02
7604013,2010-02-02 20:29:00,3,2157,41.62,Swipe Transaction,35451,Wichita Falls,TX,76308.0,5812,,2010,2,5,1,0,3.752323626670471,False,2010-02
7606057,2010-02-03 11:34:00,1,4652,7.53,Online Transaction,16798,ONLINE,,,4121,,2010,2,5,2,0,2.143589361503588,False,2010-02
7606966,2010-02-03 14:48:00,3,2157,60.53,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,2,5,2,0,4.119524860752399,False,2010-02
7609994,2010-02-04 11:14:00,3,2157,6.46,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,2,5,3,0,2.0095554142156695,False,2010-02
7610264,2010-02-04 12:15:00,1,3682,13.65,Online Transaction,16798,ONLINE,,,4121,,2010,2,5,3,0,2.6844403354630764,False,2010-02
7611470,2010-02-04 16:27:00,1,4652,20.45,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,5,3,0,3.065724645374026,False,2010-02
7612882,2010-02-05 07:19:00,1,4652,70.73,Online Transaction,59350,ONLINE,,,7922,,2010,2,5,4,0,4.272909070138343,False,2010-02
7617138,2010-02-06 09:34:00,3,2157,64.13,Swipe Transaction,18131,Dallas,TX,75215.0,4111,Insufficient Balance,2010,2,5,5,1,4.17638527255831,False,2010-02
7617500,2010-02-06 11:06:00,3,2157,12.96,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,2,5,5,1,2.6361960973342264,False,2010-02
7617719,2010-02-06 11:55:00,1,3682,15.44,Online Transaction,18563,ONLINE,,,4121,,2010,2,5,5,1,2.7997173896280336,False,2010-02
7618667,2010-02-06 15:24:00,3,2157,53.65,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,2,5,5,1,4.000949214622548,False,2010-02
7618930,2010-02-06 16:19:00,1,4652,13.3,Online Transaction,16798,ONLINE,,,4121,,2010,2,5,5,1,2.6602595372658615,False,2010-02
7621776,2010-02-07 11:43:00,1,4652,14.44,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,5,6,1,2.73696154459663,False,2010-02
7622573,2010-02-07 14:32:00,3,2157,40.37,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,2,5,6,1,3.72255598047332,False,2010-02
7622982,2010-02-07 16:02:00,1,3682,13.21,Online Transaction,16798,ONLINE,,,4121,,2010,2,5,6,1,2.6539459421090092,False,2010-02
7627317,2010-02-08 16:24:00,1,4652,20.69,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,0,0,3.076851324838783,False,2010-02
7629392,2010-02-09 09:12:00,1,3682,65.92,Swipe Transaction,60569,Pensacola,FL,32534.0,5300,,2010,2,6,1,0,4.2034978761186235,False,2010-02
7630107,2010-02-09 11:46:00,1,3682,16.29,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,1,0,2.850128299695199,False,2010-02
7631455,2010-02-09 16:21:00,1,4652,12.21,Online Transaction,18563,ONLINE,,,4121,,2010,2,6,1,0,2.580974118534234,False,2010-02
7633372,2010-02-10 08:35:00,3,2157,41.24,Swipe Transaction,22041,Wichita Falls,TX,76301.0,7230,,2010,2,6,2,0,3.743367639398006,False,2010-02
7634314,2010-02-10 11:57:00,1,4652,18.18,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,2,0,2.953868069455292,False,2010-02
7635107,2010-02-10 14:41:00,3,2157,53.09,Swipe Transaction,91290,Wichita Falls,TX,76301.0,5300,,2010,2,6,2,0,3.990649325883336,False,2010-02
7638471,2010-02-11 11:57:00,1,4652,13.47,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,3,0,2.6720775406433925,False,2010-02
7639264,2010-02-11 14:47:00,3,2157,52.35,Swipe Transaction,50783,Vernon,TX,76384.0,5411,,2010,2,6,3,0,3.976873977747762,False,2010-02
7639717,2010-02-11 16:27:00,1,4652,15.61,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,3,0,2.8100049236252036,False,2010-02
7640938,2010-02-12 06:01:00,3,2157,31.06,Swipe Transaction,64394,Wichita Falls,TX,76301.0,7538,,2010,2,6,4,0,3.467609147181407,False,2010-02
7642318,2010-02-12 12:16:00,1,4652,4.63,Swipe Transaction,72812,Pensacola,FL,32504.0,5813,,2010,2,6,4,0,1.728109442151599,False,2010-02
7642779,2010-02-12 14:02:00,3,2157,53.74,Swipe Transaction,60569,Lampasas,TX,76550.0,5300,,2010,2,6,4,0,4.002594703612533,False,2010-02
7642947,2010-02-12 14:44:00,3,2157,49.13,Swipe Transaction,81833,Wichita Falls,TX,76301.0,5912,,2010,2,6,4,0,3.914619631275412,False,2010-02
7643352,2010-02-12 16:21:00,1,4652,15.91,Online Transaction,16798,ONLINE,,,4121,,2010,2,6,4,0,2.827905162910489,False,2010-02
7644222,2010-02-12 22:10:00,3,2157,29.01,Swipe Transaction,93004,Wichita Falls,TX,76301.0,5651,,2010,2,6,4,0,3.4015306594522756,False,2010-02
7645821,2010-02-13 11:35:00,1,4652,14.01,Online Transaction,18563,ONLINE,,,4121,,2010,2,6,5,1,2.7087166456453704,False,2010-02
7646639,2010-02-13 14:44:00,3,2157,47.42,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,2,6,5,1,3.8799129515099127,False,2010-02
7647124,2010-02-13 16:39:00,1,4652,10.72,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,6,5,1,2.4612967841488667,False,2010-02
7647277,2010-02-13 17:20:00,1,3682,15.42,Online Transaction,18563,ONLINE,,,4121,,2010,2,6,5,1,2.7985001040242823,False,2010-02
7647825,2010-02-13 21:13:00,1,4652,34.94,Swipe Transaction,25887,Pensacola,FL,32505.0,5814,,2010,2,6,5,1,3.581850881355413,False,2010-02
7649849,2010-02-14 11:37:00,1,3682,14.78,Online Transaction,18563,ONLINE,,,4121,,2010,2,6,6,1,2.7587433154177283,False,2010-02
7649971,2010-02-14 12:01:00,1,4652,40.0,Swipe Transaction,27092,Pensacola,FL,32507.0,4829,,2010,2,6,6,1,3.713572066704308,False,2010-02
7650218,2010-02-14 12:53:00,1,3682,88.89,Swipe Transaction,99850,Pensacola,FL,32504.0,7230,,2010,2,6,6,1,4.4985867005853075,False,2010-02
7650630,2010-02-14 14:35:00,3,2157,53.72,Swipe Transaction,78680,Wichita Falls,TX,76301.0,5411,,2010,2,6,6,1,4.002229273314295,False,2010-02
7653906,2010-02-15 11:46:00,1,4652,15.4,Swipe Transaction,17708,Pensacola,FL,32504.0,4121,,2010,2,7,0,0,2.797281334830153,False,2010-02
7656005,2010-02-15 21:19:00,1,4652,61.38,Swipe Transaction,25887,Pensacola,FL,32505.0,5814,,2010,2,7,0,0,4.133244711179657,False,2010-02
7658030,2010-02-16 11:56:00,1,4652,13.52,Online Transaction,18563,ONLINE,,,4121,,2010,2,7,1,0,2.67552700939665,False,2010-02
7658264,2010-02-16 12:44:00,1,4652,96.81,Swipe Transaction,99850,Pensacola,FL,32504.0,7230,,2010,2,7,1,0,4.5830268213024015,False,2010-02
7658834,2010-02-16 14:48:00,3,2157,60.65,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,2,7,1,0,4.121473229610353,False,2010-02
7658912,2010-02-16 15:04:00,3,2157,54.3,Swipe Transaction,61195,Wichita Falls,TX,76301.0,5541,,2010,2,7,1,0,4.012772908528289,False,2010-02
